country_name, 1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
South Sudan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2340.999,2376.001,2413.998,
Senegal,NaN,2221.249,2240.890,2544.802,2457.244,2426.939,2349.880,2353.820,2285.564,2274.409,2118.779,2114.258,2085.447,2167.569,2194.563,2139.849,2139.560,2005.753,2028.089,2134.135,2130.405,2373.903,2322.512,2159.224,2273.134,2392.267,2296.780,2084.562,2090.712,2093.415,2230.468,2238.759,2112.358,2237.447,2164.064,2186.910,2130.009,2140.264,2135.772,2185.914,2199.168,2213.589,2188.025,2274.023,2304.585,2297.528,2375.549,2411.086,2514.200,2524.619,2475.999,2461.000,2493.998,2450.000,2474.999,2506.998,2571.001,2612.999,2646.000,2704.999,2787.000,2792.999,
Suriname,NaN,2047.580,2052.005,2083.591,2320.266,2248.958,2179.800,2227.745,2239.240,2281.325,2179.550,2114.035,2086.692,2073.355,2072.521,2060.693,2095.501,2141.393,2186.530,2206.212,2345.535,2254.541,2277.433,2404.769,2576.413,2542.398,2411.958,2466.086,2429.467,2423.269,2410.840,2528.705,2503.827,2551.725,2533.308,2556.814,2574.283,2516.504,2518.977,2435.570,2481.185,2431.951,2476.124,2473.735,2468.920,2531.827,2546.113,2579.182,2551.181,2634.686,2685.976,2639.981,2666.995,2699.990,2704.967,2655.009,2638.946,2636.973,2660.959,2693.977,2674.009,2634.004,
Switzerland,3506.073*,3548.579,3438.494,3359.153,3409.842,3429.091,3442.076,3302.811,3416.113,3414.823,3491.078,3455.606,3526.973,3541.040,3413.882,3236.026,3342.837,3527.466,3473.235,3407.925,3503.599,3501.102,3453.792,3432.706,3399.514,3400.715,3421.454,3432.927,3427.698,3407.476,3421.679,3322.693,3390.549,3335.670,3316.967,3300.979,3335.420,3319.408,3329.703,3321.580,3432.311,3369.046,3419.719,3412.464,3395.288,3377.140,3435.207,3438.495,3451.635,3468.852,3425.998,3466.997,3378.001,3388.000,3409.999,3385.998,3349.999,3371.001,3388.999,3408.999,3452.001,3402.001,
Sierra Leone,NaN,1698.039,1723.670,1827.212,1838.022,1987.125,2067.360,2106.622,2068.113,2074.779,2094.994,2063.736,2038.834,2004.818,1973.847,1992.107,1962.216,1996.430,1992.107,1983.719,2011.411,2001.661,1997.156,1886.585,1864.933,1885.951,1912.654,1926.558,1883.561,1887.455,1822.691,1843.125,1891.534,1893.445,1938.011,1939.820,1962.984,1964.431,1916.904,1863.191,1797.222,1764.532,1787.543,1789.752,1802.581,1875.630,1958.862,2000.735,1995.416,2028.467,2376.001,2392.000,2379.999,2365.998,2317.997,2400.997,2310.998,2345.000,2348.998,2296.000,2312.999,2335.999,
Slovakia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2796.887,2985.800,2841.889,2913.436,2911.128,2946.066,2889.106,2783.838,2790.979,2806.665,2796.551,2823.849,2848.794,2843.411,2808.348,2881.753,2918.402,2817.996,2805.997,2758.998,2853.998,2827.999,2732.995,2852.998,2880.001,2903.002,3024.993,3010.999,2973.999,
Serbia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3488.836,3436.674,3440.389,3483.011,3219.001,3277.998,3289.997,3338.003,3289.998,3334.999,3322.001,3334.999,3386.998,3463.002,3519.000,3578.999,
Syria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3109.000,3076.999,2958.000,2904.999,2873.000,2830.000,2716.000,2657.000,2557.999,2518.000,2456.000,2463.000,
Slovenia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2606.166,2792.610,2845.057,2908.292,3046.973,2925.778,2846.020,3066.219,3064.718,3066.575,3090.677,3115.483,3155.262,3063.678,3112.908,3137.982,3152.839,3176.548,3220.994,3204.989,3195.977,3206.009,3236.995,3196.992,3183.000,3203.991,3193.983,3147.992,3127.988,3096.003,
South Africa,2784.036*,2806.289,2737.339,2840.961,2861.467,2957.560,2832.592,2760.385,2794.418,2821.541,2833.963,2796.142,2863.523,2902.296,2871.869,2888.126,2837.402,2821.171,2822.518,2785.004,2824.452,2793.210,2873.381,2798.447,2794.136,2821.143,2728.403,2791.822,2705.002,2629.338,2611.097,2594.569,2587.726,2644.301,2649.262,2646.516,2642.144,2667.176,2704.553,2702.394,2764.719,2803.263,2816.157,2853.800,2879.266,2904.896,2893.126,2897.041,2906.721,2919.890,2865.000,2869.001,2894.000,2878.001,2845.000,2808.000,2820.000,2847.000,2846.001,2827.000,2817.000,2776.000,
